SEP=;;;;elev agl (ft);lgt;lgt hr;elev agl (m)
EFINOB 32352;Mast;65.00491476;25.62277798;493;FLG R;HN;150
EFINOB 32386;Mast;62.07422797;21.4485971;394;F R;HN;120
EFINOB 32817;Mast;64.72467623;28.81116497;394;F R;HN;120
EFINOB 33297;Mast;62.39762319;21.63660199;394;F R;HN;120
EFINOB 33299;Mast;62.63724612;22.2439499;394;F R;HN;120
EFINOB 33300;Mast;62.67630011;22.09462961;394;F R;HN;120
EFINOB 33302;Mast;61.46313857;22.16271295;371;F R;HN;113
EFINOB 33718;Mast;64.41791438;27.29510184;394;F R;HN;120
EFINOB 33722;Mast;64.10310055;26.91215415;460;F R;HN;140
EFINOB 33724;Mast;66.27490406;23.77561443;460;F R;HN;140
EFINOB 33726;Mast;61.93132457;21.56474131;394;F R;HN;120
EFINOB 33727;Mast;62.099466;21.64061327;394;F R;HN;120
EFINOB 33773;Mast;60.32091964;21.96519586;480;FLG R;H24;146
EFINOB 33790;Mast;60.3773568;26.32471693;378;F R;HN;115
EFINOB 33919;Mast;62.04936351;25.63642413;394;F R;HN;120
EFINOB 33955;Mast;63.97987426;24.98962922;460;FLG R;HN;140
EFINOB 33957;Mast;63.89231443;24.76306968;460;FLG R;HN;140
EFINOB 33959;Mast;60.83301758;22.76361289;394;F R;HN;120
EFINOB 34113;Mast;64.53862938;24.67404641;394;F R;HN;120
EFINOB 34309;Mast;61.1172039;24.1175482;335;F R;HN;102
EFINOB 34397;Mast;61.69962297;21.71220438;394;F R;HN;120
EFINOB 34402;Mast;64.11812475;23.70783889;361;F R;HN;110
EFINOB 34681;Mast;63.29744812;22.46196802;361;F R;HN;110
EFINOB 34747;Mast;62.71808043;26.40404793;394;F R;HN;120
EFINOB 34748;Mast;62.73039473;25.23666277;394;F R;HN;120
EFINOB 34750;Mast;62.60971955;24.99492099;394;F R;HN;120
EFINOB 34751;Mast;62.92842818;26.48131417;394;F R;HN;120
EFINOB 34811;Mast;67.39824302;27.07418594;338;F R;HN;103
EFINOB 34911;Mast;62.59084695;22.09917778;394;F R;HN;120
EFINOB 34936;Mast;63.32852856;22.46396412;358;F R;NIL;109
EFINOB 34937;Mast;62.71939349;21.59203188;375;F R;HN;114
EFINOB 35021;Mast;62.27301923;22.82627277;394;F R;HN;120
EFINOB 35241;Mast;62.84887154;21.55579828;460;FLG R;HN;140
EFINOB 35279;Mast;59.80932021;22.91303909;342;F R;HN;104
EFINOB 35283;Mast;62.77857095;22.80404224;516;FLG W;H24;157
EFINOB 35347;Mast;64.14441883;23.87623768;460;FLG R;HN;140
EFINOB 35382;Mast;63.28281768;25.62720004;460;FLG R;HN;140
EFINOB 35385;Mast;63.0569898;24.87121908;460;FLG R;HN;140
EFINOB 35415;Mast;66.23921399;24.97889673;404;FLG R;HN;123
EFINOB 35506;Mast;65.32474796;26.06776418;394;F R;HN;120
EFINOB 35620;Mast;63.71400281;25.92832823;357;F R;HN;109
EFINOB 35982;Mast;60.0012181;23.43921934;407;F R;HN;124
EFINOB 35983;Mast;64.28457463;26.75033486;397;F R;HN;121
EFINOB 36023;Mast;60.73292385;21.55307712;460;FLG R;HN;140
EFINOB 36024;Mast;61.48030303;25.79350522;460;FLG R;HN;140
EFINOB 36030;Mast;62.49639514;22.4934622;460;FLG R;HN;140
EFINOB 36178;Mast;62.86839198;22.32046606;463;FLG R;HN;141
EFINOB 36206;Mast;63.39786776;28.91413247;460;FLG R;HN;140
EFINOB 36603;Mast;63.3776261;25.09154171;460;FLG R;HN;140
EFINOB 36672;Mast;63.01200306;24.56038583;394;FLG R;HN;120
EFINOB 36679;Mast;64.40403474;24.25396412;466;FLG R;HN;142
EFINOB 36704;Mast;64.13158585;23.70248107;404;FLG R;HN;123
EFINOB 36757;Mast;64.70615333;25.75355722;460;FLG R;HN;140
EFINOB 36977;Mast;64.42494694;24.18087944;476;FLG R;HN;145
EFINOB 37031;Mast;62.92747151;23.06436163;466;FLG R;HN;142
EFINOB 37039;Mast;61.10225194;23.02771361;489;FLG R;HN;149
EFINOB 37257;Mast;64.65764943;28.27133608;460;FLG R;HN;140
EFINOB 37355;Mast;66.35418658;28.56037771;489;FLG R;HN;149
EFINOB 37509;Mast;63.03505951;24.14900269;335;F R;HN;102
EFINOB 37591;Mast;65.88568583;24.39475306;329;F R;HN;100
EFINOB 37636;Mast;64.49281004;24.78674101;466;FLG R;HN;142
EFINOB 37685;Mast;66.52473972;24.03628893;407;FLG R;HN;124
EFINOB 37828;Mast;66.19302778;24.98069444;394;F R;HN;120
EFINOB 37894;Mast;62.40140972;22.34581861;394;F R;HN;120
EFINOB 38335;Mast;62.09835321;24.25486602;443;FLG R;HN;135
EFINOB 38618;Mast;64.52347222;24.2705;394;F R;HN;120
EFINOB 38881;Mast;62.45086194;21.90288111;394;F R;HN;120
EFINOB 39155;Mast;64.718465;28.92704917;491;FLG R;HN;150
EFINOB 39336;Mast;62.77353361;25.20968806;394;F R;H24;120
EFINOB 39400;Mast;63.94804111;24.10599111;394;F R;HN;120
EFINOB 39426;Mast;63.94848944;24.1046175;394;F R;HN;120
EFINOB 39578;Mast;63.65040556;25.26619806;591;FLG W;HN;180
EFINOB 39579;Mast;64.26668639;26.44413222;591;FLG W;HN;180
EFINOB 39954;Mast;62.77386944;21.56871389;489;FLG R;HN;149
EFINOB 40017;Mast;61.43687583;24.90478333;342;F R;HN;104
EFINOB 41000;Mast;65.29659667;27.66934056;460;FLG R;HN;140
EFINOB 41399;Mast;64.40386444;24.25398111;607;FLG W;HN;185
EFINOB 41601;Mast;63.12074556;21.97837694;476;FLG R;HN;145
EFINOB 41649;Mast;60.38765917;23.18149667;384;F R;HN;117
EFINOB 41950;Mast;64.14905167;25.63615694;394;F R;HN;120
EFINOB 42130;Mast;64.68256028;24.49491972;342;F R;HN;104
EFINOB 42266;Mast;63.28375306;23.72295722;489;FLG R;HN;149
EFINOB 42422;Mast;63.69195111;24.22366417;492;F R;HN;150
EFINOB 42424;Mast;61.09907972;23.84463333;483;FLG R;HN;147
EFINOB 42472;Mast;64.10560556;24.79973611;463;FLG R;H24;141
EFINOB 42473;Mast;63.98965;25.13134167;463;FLG R;H24;141
EFINOB 42474;Mast;63.88533611;24.2959;463;FLG R;H24;141
EFINOB 42565;Mast;62.67447889;22.1812375;394;F R;HN;120
EFINOB 42566;Mast;62.61720639;22.10983861;394;F R;HN;120
EFINOB 42789;Mast;66.25760944;27.52410694;397;FLG R;H24;121
EFINOB 43171;Mast;62.03184944;24.53145833;430;FLG R;HN;131
EFINOB 44480;Mast;65.68860833;24.86851472;489;FLG R;HN;149
EFINOB 44621;Mast;61.16396694;22.43781222;411;FLG R;HN;125
EFINOB 44926;Mast;64.43782806;24.70693528;525;FLG W;HN;160
EFINOB 44980;Mast;64.48017806;24.98466333;339;F R;HN;103
EFINOB 44986;Mast;64.75216417;24.79240083;411;FLG R;HN;125
EFINOB 45008;Mast;64.07116806;24.58600111;453;FLG R;HN;138
EFINOB 45018;Mast;66.86293028;27.86109194;492;FLG R;HN;150
EFINOB 45180;Mast;62.57358306;29.06622583;476;FLG R;HN;145
EFINOB 45183;Mast;60.80882139;21.42678333;338;F R;HN;103
EFINOB 45340;Mast;64.58299778;27.31377917;591;FLG W;HN;180
EFINOB 45341;Mast;64.60328361;27.27947056;489;FLG R;HN;149
EFINOB 45832;Mast;64.41493611;24.17009889;434;FLG R;HN;132
